ReviewID,SubmittedAt,Rating,Store,ReviewTitle,ReviewText
AS-Q2-0001,2026-05-02,3,mobile-app,Please add another color,Please add a darker color choice and make the comparison view easier to find.
AS-Q2-0002,2026-05-03,4,mobile-app,Suggestion for reordering,A recurring-delivery option would make this much more convenient for my household.
AS-Q2-0003,2026-05-04,1,mobile-app,Delivery estimate was off,The package arrived late enough that I had to buy a replacement locally.
AS-Q2-0004,2026-05-05,2,mobile-app,Still waiting longer than expected,Delivery slipped twice and I could not tell when the parcel would actually turn up.
AS-Q2-0005,2026-05-06,3,mobile-app,Still waiting for an answer,I waited several days for a support reply and had to repeat the same issue after a handoff.
AS-Q2-0006,2026-05-07,2,mobile-app,Please add another color,Please add a darker color choice and make the comparison view easier to find.
AS-Q2-0007,2026-05-08,5,mobile-app,Good experience overall,"Good experience overall, and the item matched the description."
AS-Q2-0008,2026-05-09,4,mobile-app,Would like more choices,It would be helpful to offer a smaller bundle instead of only the current pack size.
AS-Q2-0009,2026-05-10,1,mobile-app,Support queue was slow,The support queue was slow and I did not receive a useful update until the third message.
AS-Q2-0010,2026-05-11,3,mobile-app,Did not last as expected,The item looked fine on arrival but started wearing out sooner than expected.
AS-Q2-0011,2026-05-12,5,mobile-app,Straightforward order,The order was straightforward and I have no issue to report.
AS-Q2-0012,2026-05-13,1,mobile-app,Could use more padding,"The product works, but the box arrived dented and should have been packed more carefully."
AS-Q2-0013,2026-05-14,3,mobile-app,Would like more choices,It would be helpful to offer a smaller bundle instead of only the current pack size.
AS-Q2-0014,2026-05-15,3,mobile-app,Still wait,The support queue was slow and I did not receive a useful update until the third message.
AS-Q2-0015,2026-05-16,1,mobile-app,Where is my parcel?,Tracking stayed unchanged for several days and the parcel arrived after the promised window.
AS-Q2-0016,2026-05-17,2,mobile-app,Arrived after the event,"The order was useful once it arrived, but delivery took much longer than the checkout estimate."
AS-Q2-0017,2026-05-18,4,mobile-app,Suggestion for reordering,A recurring-delivery option would make this much more convenient for my household.
AS-Q2-0018,2026-05-19,4,mobile-app,No issue to report,The product arrived in good condition and was easy to set up.
AS-Q2-0019,2026-05-20,2,mobile-app,Still waiting longer than expected,Delivery slipped twice and I could not tell when the parcel would actually turn up.
AS-Q2-0020,2026-05-21,4,mobile-app,A smaller option would help,I would like an additional size option and a clearer way to compare variants.
AS-Q2-0021,2026-05-22,1,mobile-app,Too many handoffs,The first support answer was generic and the follow-up took too long to arrive.
AS-Q2-0022,2026-05-23,3,mobile-app,Finish was uneven,The finish was uneven in one area even though the shipping package looked intact.
AS-Q2-0023,2026-05-24,5,mobile-app,No issue to report,The product arrived in good condition and was easy to set up.
AS-Q2-0024,2026-05-25,1,mobile-app,Support queue was slow,The support queue was slow and I did not receive a useful update until the third message.
AS-Q2-0025,2026-05-26,3,mobile-app,A smaller option would help,I would like an additional size option and a clearer way to compare variants.
AS-Q2-0026,2026-05-27,3,mobile-app,Too many handoffs,The first support answer was generic and the follow-up took too long to arrive.
AS-Q2-0027,2026-05-01,2,mobile-app,Finish was uneven,The finish was uneven in one area even though the shipping package looked intact.
AS-Q2-0028,2026-05-02,4,mobile-app,No issue to report,The product arrived in good condition and was easy to set up.
AS-Q2-0029,2026-05-03,3,mobile-app,"Item fine, shipping box not fine",Packaging needs improvement because the shipping box opened along one edge in transit.
AS-Q2-0030,2026-05-04,1,mobile-app,Box arrived crushed,The outer box was crushed and the product carton had no useful padding around it.
AS-Q2-0031,2026-05-05,2,mobile-app,Mailer needs work,The mailer was torn when it arrived and one corner of the package was bent.
