queue_id,system,signal,updated_by,confidence,comment
Q57-4-1,outside_counsel_conflicts,signal-1,calendar,medium,"context fragment; not a standalone decision"
Q57-4-2,opposing_counsel_mail,signal-2,runner,medium,"context fragment; not a standalone decision"
Q57-4-3,opposing_counsel_mail,signal-3,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q57-4-4,outside_counsel_conflicts,signal-4,mobile,medium,"context fragment; not a standalone decision"
Q57-4-5,outside_counsel_conflicts,signal-5,runner,ambiguous,"context fragment; not a standalone decision"
Q57-4-6,signature_authority_context,signal-6,mobile,high-but-stale,"context fragment; not a standalone decision"
Q57-4-7,client_instruction_log,signal-7,runner,ambiguous,"context fragment; not a standalone decision"
Q57-4-8,opposing_counsel_mail,signal-8,desk,ambiguous,"context fragment; not a standalone decision"
Q57-4-9,signature_authority_context,signal-9,desk,high-but-stale,"context fragment; not a standalone decision"
Q57-4-10,signature_authority_context,signal-10,mailbox,ambiguous,"context fragment; not a standalone decision"
Q57-4-11,court_runner_fragments,signal-11,mobile,low,"context fragment; not a standalone decision"
Q57-4-12,court_runner_fragments,signal-12,mailbox,high-but-stale,"context fragment; not a standalone decision"
Q57-4-13,outside_counsel_conflicts,signal-13,runner,ambiguous,"context fragment; not a standalone decision"
Q57-4-14,signature_authority_context,signal-14,runner,ambiguous,"context fragment; not a standalone decision"
Q57-4-15,opposing_counsel_mail,signal-15,mailbox,ambiguous,"context fragment; not a standalone decision"
Q57-4-16,client_instruction_log,signal-16,mobile,low,"context fragment; not a standalone decision"
Q57-4-17,opposing_counsel_mail,signal-17,calendar,ambiguous,"context fragment; not a standalone decision"
